area;upm;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;periodo
1;010150003403;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;184,707323679286;202102
1;010150003403;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;160,817711611199;202102
1;010150003403;1;1;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2;2;2;3;3;3;2;2712;167,309137410123;202102
1;010150003403;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;2;2;2;3;3;2;3;2712;336,079128708826;202102
1;010150003403;3;3;2;2;3;2;3;2;2;2;2;3;3;2;2;2;2;2;2;3;3;2;3;2712;246,765340189258;202102
1;010150003403;2;2;3;2;3;2;3;2;2;2;2;2;3;3;3;3;2;2;2;2;3;3;2;2712;256,360599159942;202102
1;010150004001;3;3;1;1;4;3;4;3;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;166,236591311358;202102
1;010150004001;2;2;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;210,79123769251;202102
1;010150004001;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2;2;2;2;2;2;2;2;2712;183,523245376737;202102
1;010150004001;2;2;2;2;3;2;3;2;1;1;3;3;3;3;3;3;2;2;2;3;1;2;1;2712;183,523245376737;202102
1;010150004001;3;3;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;3;3;3;2;2712;302,471215837943;202102
1;010150004001;2;2;2;2;2;3;2;3;2;2;2;2;2;3;3;3;2;2;2;3;3;2;2;2712;136,394768832074;202102
1;010150004602;2;2;2;2;3;2;3;2;1;1;3;3;3;3;2;2;2;2;2;3;3;3;3;2713;183,393084403448;202102
1;010150004602;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;3;2;2;2;2;2;3;3;2713;170,463987743872;202102
1;010150004602;2;2;2;2;2;2;2;2;1;1;3;3;3;2;3;3;1;1;1;3;3;3;3;2713;183,592943784904;202102
1;010150004602;3;3;2;2;3;2;3;2;2;2;3;3;2;2;3;3;2;2;2;3;3;3;3;2713;158,27389941297;202102
1;010150004602;3;3;3;3;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;228,989972144366;202102
1;010150004602;2;2;2;2;2;2;2;2;2;3;3;2;3;3;2;2;2;2;2;3;3;2;2;2713;246,545963559748;202102
1;010150004602;2;2;2;2;3;2;3;2;1;1;3;3;2;2;3;3;2;2;2;3;3;3;3;2713;243,80114377116;202102
1;010150004703;3;3;2;2;3;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2711;202,61218550092;202102
1;010150004703;2;3;2;2;2;2;3;2;3;2;2;2;2;2;3;3;2;2;2;1;2;2;2;2711;140,317751453236;202102
1;010150004703;2;2;2;2;3;2;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;147,433048086491;202102
1;010150004703;3;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;147,433048086491;202102
1;010150004703;3;3;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;181,357859988885;202102
1;010150004703;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;3;3;3;2711;188,59620627938;202102
1;010150004703;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;3;3;3;2711;171,017883616772;202102
1;010150005803;2;2;2;2;3;2;3;2;1;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;178,10331166784;202102
1;010150005803;2;3;2;2;2;2;2;2;2;3;2;3;3;2;2;2;2;2;2;2;2;3;3;2713;132,583101578567;202102
1;010150005803;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;3;3;3;2713;142,701223804778;202102
1;010150005803;2;2;1;1;4;2;4;3;3;2;3;2;2;2;2;3;2;2;2;2;1;2;1;2713;189,623111822013;202102
1;010150005803;3;3;2;2;4;3;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2713;123,101921765644;202102
1;010150005803;2;2;2;2;3;2;3;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;137,481756520342;202102
1;010150005803;2;2;2;2;3;2;3;2;2;2;3;3;3;3;3;2;2;2;2;3;2;3;3;2713;106,12510906686;202102
1;010150006004;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;3;1;2712;93,9608407509845;202102
1;010150006004;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;3;2712;101,197605325867;202102
1;010150006004;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;3;3;2712;114,518540681158;202102
1;010150006004;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;93,9608407509845;202102
1;010150006004;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;108,991737854183;202102
1;010150006501;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;113,304978601296;202102
1;010150006501;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2711;92,9651302516275;202102
1;010150006501;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;92,9651302516275;202102
1;010150006501;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;166,717959327834;202102
1;010150006501;3;2;1;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2711;116,142215690454;202102
1;010150006501;3;3;1;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2711;107,836743743262;202102
1;010150006501;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2711;107,836743743262;202102
1;010150006902;2;1;2;2;3;2;3;2;2;2;3;3;3;3;3;2;2;2;2;2;2;2;3;2711;193,984669315933;202102
